GEO_ID,NAME,Ratio_women_to_men,Percent_hispanic_or_latino,Percent_white,Percent_black,Percent_asian,median_household_income,Ratio_female_labor_16_yrs_and_older,Bachelor_degree_or_higher,Average_household_size
8600000US11222,ZCTA5 11222,1.0273333333333334,0.1424147758412803,0.8565164967664145,0.05434067740874712,0.07122108955387482,85111,0.4757885384273656,17728,2.10
8600000US11233,ZCTA5 11233,1.1888249373147937,0.1598042151030344,0.10106874601335607,0.8038245746495007,0.02310626277353259,40449,0.5523206987290745,12510,2.57
8600000US11235,ZCTA5 11235,1.0871981192562514,0.08308160966618881,0.775739811591235,0.029477268072906,0.16572803604341593,52538,0.47582925862296815,28403,2.38
8600000US11426,ZCTA5 11426,1.0024066230265691,0.18931782125859334,0.4033940675929042,0.07562136435748282,0.464112302293159,88803,0.4479299653474375,5501,3.26
8600000US11427,ZCTA5 11427,1.0222951371361266,0.19453342763240006,0.31064608728210674,0.22090943129342264,0.35798976577775926,74581,0.4602061507265968,5571,3.08
8600000US11101,ZCTA5 11101,0.9639798653330719,0.263222714109776,0.47378757114802117,0.17957594115101688,0.253636454415338,65392,0.47189807768194375,10627,2.24
8600000US11205,ZCTA5 11205,1.1585754451733834,0.1769928794720389,0.5182137895102467,0.34052622438346647,0.0827327196943383,56708,0.5177165354330708,12401,2.67
8600000US11215,ZCTA5 11215,1.0881626335684733,0.16289412167170306,0.8144563544101716,0.06773476252922059,0.11108101944238553,123583,0.5028318091082122,39369,2.43
8600000US11219,ZCTA5 11219,1.0014226648290578,0.12120707272646497,0.6793615886978542,0.013838908880892087,0.2478786263272469,39295,0.4455159112825458,9423,3.64
8600000US11226,ZCTA5 11226,1.2223034815947522,0.17097639538478415,0.1722827767085174,0.6951045603677812,0.03997925745684454,52052,0.5460413897854566,19474,2.71
8600000US11228,ZCTA5 11228,1.0429531420268798,0.12975063341778903,0.5751655776325733,0.015379828421567321,0.36415966573320885,67911,0.46895424836601307,10808,2.93
8600000US11236,ZCTA5 11236,1.2931751691351252,0.07142358792397166,0.06505466904545953,0.8737279604509075,0.034625389959234934,67669,0.5650475347369232,18877,2.97
8600000US11237,ZCTA5 11237,0.9427153100622488,0.6297302778341107,0.4416345568850132,0.1511052524842831,0.08545933887649564,51413,0.43160911406736485,9887,2.86
8600000US11354,ZCTA5 11354,1.2050892821475652,0.1594746376811594,0.22465579710144928,0.03865942028985507,0.64375,42500,0.4896944391725185,8830,2.65
8600000US11356,ZCTA5 11356,1.0098072952512045,0.4030904888280113,0.39470079616471193,0.02123105898467597,0.31572639328824587,60493,0.45786342243140044,3093,3.13
8600000US11360,ZCTA5 11360,1.1625702634189352,0.09775240813414199,0.6354925844758167,0.015952296009377708,0.33418276336578157,86174,0.4726787620064034,8239,2.28
8600000US11362,ZCTA5 11362,1.1307762349191897,0.08861706105443086,0.5242241333262112,0.021633459751081673,0.4373697986218685,89185,0.5028596093665696,6308,2.58
8600000US11366,ZCTA5 11366,1.0997563422674501,0.08860068259385666,0.4543344709897611,0.05658703071672355,0.4769283276450512,78990,0.4730637422892392,4511,3.12
8600000US11370,ZCTA5 11370,0.6860609831985065,0.37377744971396937,0.438549547887064,0.15574829304299687,0.2326690041213016,65098,0.44131238447319776,5215,3.17
8600000US11371,ZCTA5 11371,None,None,None,None,None,None,None,0,None
8600000US11374,ZCTA5 11374,1.1778401838141435,0.1628724825920803,0.5716362272290343,0.054978547816097345,0.3440320727733102,63161,0.49165624595748353,17053,2.19
8600000US11379,ZCTA5 11379,1.1162361623616237,0.20134210456791102,0.8080631951599694,0.019286148318406384,0.12129137935589548,82819,0.4880370724827482,9322,2.78
8600000US11419,ZCTA5 11419,0.9860705279590122,0.18860091095973236,0.11249949615059052,0.1907573864323431,0.35273489459470353,70882,0.446816535908268,6773,3.97
8600000US11422,ZCTA5 11422,1.1560483870967742,0.09569228851069135,0.06470918271928185,0.8675269621594663,0.028146624275294557,89235,0.531747825104508,6185,3.32
8600000US11428,ZCTA5 11428,1.0557124239791487,0.25331501928258227,0.2595488404036135,0.2519942944688045,0.32547942310740136,73699,0.45656173344235484,2572,3.40
8600000US11433,ZCTA5 11433,1.1819649584404712,0.18890624571788758,0.04924771849050399,0.66469346926471,0.09397352626819042,51521,0.5001095050372317,3868,3.46
8600000US11004,ZCTA5 11004,1.1324188129899215,0.12577130103715373,0.4508993041880005,0.07863988446895102,0.4631744781410004,92657,0.4500582977069569,4880,2.77
8600000US11005,ZCTA5 11005,1.8956953642384107,0.01429388221841052,1.0,0.0,0.013150371640937679,62993,0.5,792,1.38
8600000US11206,ZCTA5 11206,1.063168464807809,0.37122095326489263,0.5001414843405132,0.28699815504419973,0.07692220625021223,36404,0.50281604291113,14510,2.83
8600000US11363,ZCTA5 11363,1.0808141275067344,0.1314729574223245,0.613204833141542,0.02100115074798619,0.34249136939010355,104792,0.4752122706107916,2884,2.61
8600000US11211,ZCTA5 11211,1.0095952376289972,0.24316923916432803,0.7717200654817586,0.07877299657000311,0.0683660742126598,71225,0.4643919857171196,34032,2.59
8600000US11372,ZCTA5 11372,1.0099450745880594,0.5756419377789276,0.6019177284781062,0.03937326175538452,0.21709462518595174,56383,0.42108026131591225,13929,2.58
8600000US11217,ZCTA5 11217,1.1280193236714975,0.18525853116622792,0.6201125413577414,0.21547081411355568,0.09739899050885116,107362,0.5170103929847353,20993,2.33
8600000US11109,ZCTA5 11109,1.0659758203799654,0.05567630830964722,0.6953686674469153,0.0479852867413476,0.27085771610098647,148590,0.4817320703653586,4082,2.02
8600000US11351,ZCTA5 11351,None,None,None,None,None,None,None,0,None
8600000US11359,ZCTA5 11359,None,None,None,None,None,None,None,0,None
8600000US11424,ZCTA5 11424,None,None,None,None,None,None,None,0,None
8600000US11425,ZCTA5 11425,None,None,None,None,None,None,None,0,None
8600000US11451,ZCTA5 11451,None,None,None,None,None,None,None,0,None
8600000US11201,ZCTA5 11201,1.091172358697823,0.11567419575633128,0.6871368766216195,0.15965490345892427,0.1489581841045477,124996,0.4963837677195382,35276,2.06
8600000US11231,ZCTA5 11231,1.1530977982590886,0.18620689655172415,0.7088122605363985,0.15888492535341525,0.09005152596115736,100213,0.50409442334965,17106,2.41
8600000US11417,ZCTA5 11417,1.0852328391352621,0.38531650327309175,0.3857863250540295,0.09894446706549316,0.3136216995019889,73424,0.45595854922279794,5351,3.52
8600000US11203,ZCTA5 11203,1.2695442923747933,0.06422711428609296,0.05194099481782879,0.9009423334349446,0.024121615353010564,51277,0.5564604709727543,12422,2.66
8600000US11208,ZCTA5 11208,1.1509080206675533,0.41309547942428543,0.2676059193188729,0.5563348874923981,0.062456922765051694,40733,0.5071555513983724,9089,3.05
8600000US11210,ZCTA5 11210,1.1912077136787056,0.07034606205250597,0.3219868735083532,0.5989707637231504,0.05056682577565633,65900,0.540370033363664,15281,3.00
8600000US11212,ZCTA5 11212,1.3591047812817905,0.18641786558992252,0.08493734237589348,0.8323206188665438,0.01794138016647719,26239,0.5906585878269343,7758,2.23
8600000US11221,ZCTA5 11221,1.0882008618327645,0.34330530208146953,0.3045625335480408,0.5125186378004414,0.042583646448380745,50153,0.4899830146770611,17642,2.68
8600000US11239,ZCTA5 11239,1.4498705142434332,0.18929326487466022,0.3123678646934461,0.6165810933252793,0.024614919963757174,27104,0.6221553507617077,1851,1.95
8600000US11361,ZCTA5 11361,1.0428882057434206,0.12882624972473022,0.49713719445056154,0.04580488879101519,0.41653820744329445,85887,0.47007319242082224,8568,2.67
8600000US10457,ZCTA5 10457,1.1248931197628684,0.665691981650884,0.1686831021809695,0.4245781581135821,0.012165678568554337,27420,0.5030659413226,5546,2.90
8600000US10464,ZCTA5 10464,1.0508788159111933,0.2519170049616599,0.8283716734325666,0.02683806946323861,0.058186738836265225,93365,0.499609984399376,1449,2.33
8600000US10472,ZCTA5 10472,1.0580351800885486,0.6454299668585383,0.17374556660270946,0.2928949357520786,0.07756264899122042,30977,0.4726327866639671,5208,3.11
8600000US10309,ZCTA5 10309,0.9909155682223014,0.09266052309802869,0.9245474337180519,0.009334645551877368,0.03853150815663118,103175,0.46422117817130465,7905,2.91
8600000US10467,ZCTA5 10467,1.085274902000201,0.5233293487062816,0.2527281841668916,0.3752072648748699,0.06780935487602668,37015,0.4872072072072072,12950,2.78
8600000US10456,ZCTA5 10456,1.1489371407718274,0.6152858264875077,0.12409518351058184,0.4484705682565964,0.014148039652720287,27106,0.5183653002381848,7198,2.98
8600000US10065,ZCTA5 10065,1.2949869366427171,0.06577964353054182,0.8756270233732968,0.023551175779999288,0.10455725924081255,127375,0.5377852817885421,18409,1.87
